"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,NISPORENI,NISPORENI,462,"Alegeri Prezidentiale",1,0,1119,0,1119,0,1116,3,2500,1381,1040,76
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,ORHEI,ORHEI,463,"Alegeri Prezidentiale",1,0,2235,0,2235,0,2234,1,4997,2762,2167,67
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CĂUȘENI,CĂUȘENI,464,"Alegeri Prezidentiale",1,0,1087,0,1087,0,1084,3,5006,3919,1044,40
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,"ANENII NOI","ANENII NOI",465,"Alegeri Prezidentiale",1,0,776,0,776,0,770,6,5000,4224,740,30
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,BARDAR,BARDAR,466,"Alegeri Prezidentiale",1,0,475,0,475,0,475,0,3600,3125,459,16
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CĂLĂRAȘI,CĂLĂRAȘI,467,"Alegeri Prezidentiale",1,0,1230,0,1230,0,1230,0,4998,3768,1186,44
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,DURLEȘTI,DURLEȘTI,468,"Alegeri Prezidentiale",1,0,1561,0,1561,0,1559,2,6000,4439,1507,52
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,STRĂȘENI,STRĂȘENI,469,"Alegeri Prezidentiale",1,0,1417,0,1417,0,1416,1,6000,4583,1355,61
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,BĂLȚI,BĂLȚI,470,"Alegeri Prezidentiale",1,0,985,0,985,0,984,1,3200,2215,949,35
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,UNGHENI,UNGHENI,472,"Alegeri Prezidentiale",1,0,1596,0,1596,0,1595,1,3200,1604,1524,71
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,SOROCA,SOROCA,473,"Alegeri Prezidentiale",1,0,733,0,733,0,733,0,3200,2467,692,41
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,DROCHIA,DROCHIA,474,"Alegeri Prezidentiale",1,0,689,0,689,0,686,3,3200,2511,658,28
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,EDINEŢ,EDINEŢ,475,"Alegeri Prezidentiale",1,0,708,0,708,0,706,2,3200,2492,659,47
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,FĂLEȘTI,FĂLEȘTI,476,"Alegeri Prezidentiale",1,0,382,0,382,0,379,3,3200,2818,364,15
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,FLOREȘTI,FLOREȘTI,477,"Alegeri Prezidentiale",1,0,453,0,453,0,452,1,3200,2747,425,27
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,TELENEȘTI,TELENEȘTI,478,"Alegeri Prezidentiale",1,0,705,0,705,0,705,0,3200,2495,686,19
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CAHUL,CAHUL,479,"Alegeri Prezidentiale",3,0,1714,0,1714,0,1710,4,7000,5286,1619,91
